Channel,Regime,N,Mean,Std,Skewness,Excess Kurtosis,Min,Max
USDC,Pre-SVB,11197,-0.3238174344896418,4.995509883147346,0.0025531476381510042,3.775832786514039,-36.862828235513234,31.97763975954615
USDC,Crisis,4283,5.271050433607711,21.208693694878097,1.0115760217410157,12.915226318166729,-165.15509862776057,180.5533261726744
USDC,Post-SVB,12420,0.45353619165356923,9.055212599784433,0.30125726680332093,2.799942500728159,-43.1976523909583,79.40447290708974
USDT,Pre-SVB,12618,-0.5962620488745575,4.329246574030331,-0.3649007021902097,5.229106501331966,-36.362153624711624,34.5157843356958
USDT,Crisis,4312,0.6807815388050251,6.56626523680764,-0.11135430459432809,1.3763285265605898,-26.834981069043806,29.855276180743573
USDT,Post-SVB,12838,-1.2265662641816155,6.471544234220469,-0.02989978599375625,1.9533927528952644,-37.762524552036325,36.22815025083881
