Direction,Horizon,Response (bps),CI low,CI high,CI contains zero,VAR lags,N
BTC/USDC -> BTC/USD,0,0.0,0.0,0.0,True,10,26548
BTC/USDC -> BTC/USD,1,0.05960948529893258,-0.05392213396652287,0.17314110456438803,True,10,26548
BTC/USDC -> BTC/USD,2,0.0025175799791138822,-0.11108729765759973,0.11612245761582748,True,10,26548
BTC/USDC -> BTC/USD,3,-0.12406685093154658,-0.23766451745769165,-0.01046918440540151,False,10,26548
BTC/USDC -> BTC/USD,4,0.021997970909552564,-0.09160916384712577,0.1356051056662309,True,10,26548
BTC/USDC -> BTC/USD,5,-0.01265453174074426,-0.12625940105335057,0.10095033757186204,True,10,26548
BTC/USDC -> BTC/USD,6,0.04979677434104292,-0.06377156436314657,0.1633651130452324,True,10,26548
BTC/USDC -> BTC/USD,7,-0.10257422399308197,-0.21606860817790033,0.010920160191736389,True,10,26548
BTC/USDC -> BTC/USD,8,-0.07260840416601491,-0.18567603688653522,0.040459228554505386,True,10,26548
BTC/USDC -> BTC/USD,9,-0.10735493025968891,-0.2188657285280846,0.004155868008706778,True,10,26548
BTC/USDC -> BTC/USD,10,0.03412948468592633,-0.0704995473379884,0.13875851670984107,True,10,26548
BTC/USD -> BTC/USDC,0,6.132133239973696,5.995470287338273,6.268796192609118,False,10,26548
BTC/USD -> BTC/USDC,1,2.5682893833437834,2.4136698628548583,2.7229089038327086,False,10,26548
BTC/USD -> BTC/USDC,2,0.5184472530618394,0.36218455553042767,0.674709950593251,False,10,26548
BTC/USD -> BTC/USDC,3,0.14329078060908515,-0.01302786274915338,0.2996094239673237,True,10,26548
BTC/USD -> BTC/USDC,4,-0.22544138244902467,-0.3817835431074352,-0.06909922179061417,False,10,26548
BTC/USD -> BTC/USDC,5,-0.13617817353130587,-0.2925326496073519,0.02017630254474015,True,10,26548
BTC/USD -> BTC/USDC,6,0.016331792269736144,-0.14003705666975622,0.17270064120922848,True,10,26548
BTC/USD -> BTC/USDC,7,-0.046128549753135885,-0.20249889664251453,0.11024179713624277,True,10,26548
BTC/USD -> BTC/USDC,8,0.050965577379249824,-0.10542411700893638,0.207355271767436,True,10,26548
BTC/USD -> BTC/USDC,9,-0.04171705937237412,-0.19811976285310628,0.11468564410835803,True,10,26548
BTC/USD -> BTC/USDC,10,0.1727973456961981,0.016509310615189537,0.3290853807772066,False,10,26548
