Market,N,Mean Identity Error (bps),Max Abs Identity Error (bps),Std Identity Error (bps)
USDC (Kraken),27900,8.416705803044782e-14,1.8318235817105233e-11,6.510113679059837e-12
USDT (Kraken),29768,-4.1201727299723456e-14,1.7873591495742858e-11,6.456025956832959e-12
USDT (Coinbase),29904,-2.729363982311642e-14,1.7912782368512126e-11,6.963299688844237e-12
