Specification,lambda,SE,t_stat,p_value,R2,N
Crisis no-FF,-0.009237210644136962,0.0024168328557161492,-3.822031226648405,0.0001323569241142272,0.36961313416536823,3001
Crisis 5-minute,-0.011948234537673384,0.0026417540145163908,-4.52284144247271,6.101494760718666e-06,0.4936228684072842,861
