Channel,Regime,lambda,SE,t_stat,p_value,R2,N
USDC,Pre-SVB,-0.0017448115171211712,0.09058271383444597,-0.01926208040432622,0.9846320337659547,0.2527824097235709,11196
USDC,Crisis,-0.008657610526738971,0.0018136050837699379,-4.773702171556782,1.808698020436958e-06,0.35095925818088947,4282
USDC,Post-SVB,-0.018957256197789624,0.0069321541182333045,-2.734684756636798,0.006244004327599855,0.2926542906348324,12418
USDT,Pre-SVB,-0.07623579260397254,0.03199484336978784,-2.3827524867948138,0.01718374360951164,0.2733027430353481,12617
USDT,Crisis,0.01875697941371529,0.003586216167789904,5.2302980456626385,1.692369674103355e-07,0.2723317800510945,4311
USDT,Post-SVB,0.023214535877947855,0.008277013467188954,2.804699541685293,0.005036350293730344,0.3535585299286209,12836
