channel,market_1,market_2,k_ar_diff_used,rank_used,alpha_market_1,alpha_market_2,abs_alpha_market_1,abs_alpha_market_2,gg_share_market_1,gg_share_market_2,leader_by_adjustment,follower_by_adjustment,gg_warning,leader_stable_lag_pm1,alpha_m1_lag_minus1,alpha_m1_lag_plus1,alpha_m2_lag_minus1,alpha_m2_lag_plus1
Kraken BTC/USD vs BTC/USDC,Kraken BTC/USD,Kraken BTC/USDC,2,0,,,,,,,undetermined_no_cointegration,undetermined_no_cointegration,no_rank1_cointegration,,,,,
Kraken BTC/USD vs BTC/USDT,Kraken BTC/USD,Kraken BTC/USDT,8,1,0.007858520214227224,0.011824909841560333,0.007858520214227224,0.011824909841560333,2.981277925918507,-1.981277925918507,Kraken BTC/USD,Kraken BTC/USDT,gg_non_convex_share,True,0.007907301629308118,0.008001300184316681,0.011984560823478194,0.011820589686404282
